analysis_type	roi_set	roi	condition	condition_label	target_phase	n_subjects	mean_run3	mean_run4	mean_diff	t	p	cohens_dz	q_bh_within_family
run4_minus_run3	meta_metaphor	meta_L_AG	yy	YY	retrieval	26	0.009004910401686727	-0.008922495525271617	-0.01792740592695834	-2.568155012641508	0.016584545626442505	-0.5036566355150067	0.13267636501154004
run4_minus_run3	meta_metaphor	meta_L_IFG	kj	KJ	retrieval	26	-0.005266040932485356	-0.03810019755662929	-0.03283415662414392	-1.4159778461085597	0.16912107486441158	-0.2776961026201011	0.5657579313205389
run4_minus_run3	meta_metaphor	meta_R_temporal_pole	kj	KJ	retrieval	26	-0.011205463635612273	0.012735820619254101	0.023941284254866375	1.2860417879166135	0.21021251147578995	0.2522135450724064	0.5657579313205389
run4_minus_run3	meta_metaphor	meta_L_AG	kj	KJ	retrieval	26	-0.016524327986865473	-0.05140710901104144	-0.03488278102417597	-1.1926292604923336	0.2442117028287464	-0.23389384122046702	0.5657579313205389
run4_minus_run3	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	retrieval	26	-0.007117803364281581	0.018459085447406653	0.02557688881168824	1.01738747683449	0.3187145894862369	0.19952609989476885	0.5657579313205389
run4_minus_run3	meta_metaphor	meta_L_temporal_pole	kj	KJ	retrieval	26	-0.0015415169802772085	-0.023608739239704156	-0.022067222259426953	-0.9451827481954418	0.353611870044685	-0.1853655875753774	0.5657579313205389
run4_minus_run3	meta_metaphor	meta_R_AG	kj	KJ	retrieval	26	-0.013249565457680476	0.006318433033344285	0.01956799849102476	0.8042427385185388	0.4288386862641945	0.15772497759120496	0.5657579313205389
run4_minus_run3	meta_metaphor	meta_R_IFG	kj	KJ	retrieval	26	-0.00753929234969322	0.010017508278097737	0.017556800627790952	0.6924481068998963	0.49503818990547155	0.13580024650895978	0.5657579313205389
run4_minus_run3	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	retrieval	26	-0.020631779651860162	-0.025127397677904482	-0.0044956180260443184	-0.17768117801954766	0.860405204850134	-0.03484614591999334	0.860405204850134
run4_minus_run3	meta_metaphor	meta_R_temporal_pole	yy	YY	retrieval	26	-0.00657967290496595	-0.0005441778885748488	0.006035495016391104	0.7810715131221831	0.442094479953945	0.15318072642005595	0.9791704518070119
run4_minus_run3	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	retrieval	26	0.0033783890376926124	-0.00248392954192035	-0.005862318579612961	-0.760949913212081	0.45380513571720293	-0.14923455601288993	0.9791704518070119
run4_minus_run3	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	retrieval	26	0.009610883576776672	0.004489388424139414	-0.005121495152637257	-0.579441519839866	0.5674766269376714	-0.1136378314095899	0.9791704518070119
run4_minus_run3	meta_metaphor	meta_L_temporal_pole	yy	YY	retrieval	26	-0.009212007681366447	-0.006701771079176428	0.0025102366021900217	0.34412098853059153	0.7336330414781689	0.06748767829055097	0.9791704518070119
run4_minus_run3	meta_metaphor	meta_L_IFG	yy	YY	retrieval	26	-0.004410926534053235	-0.0028219336173312746	0.0015889929167219622	0.2090888319026645	0.836073268856478	0.041005693613308	0.9791704518070119
run4_minus_run3	meta_metaphor	meta_R_IFG	yy	YY	retrieval	26	-0.012787185874581565	-0.011418232923935583	0.0013689529506459809	0.11432685535354038	0.909891938100626	0.022421341014438545	0.9791704518070119
run4_minus_run3	meta_metaphor	meta_R_AG	yy	YY	retrieval	26	0.001812264490600909	0.0015347320226696975	-0.00027753246793121123	-0.02637144495542229	0.9791704518070119	-0.005171865862666779	0.9791704518070119
