analysis_type	roi_set	roi	condition	condition_label	n_subjects	mean_effect	t	p	q_bh_within_roi_set
one_sample_gt_zero	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	28	0.09831486234020896	4.705735732092998	6.716824190308005e-05	0.0005373459352246404
one_sample_gt_zero	meta_metaphor	meta_L_IFG	kj	KJ	28	0.0979646393439311	4.329548600545694	0.0001841744961149551	0.0007366979844598204
one_sample_gt_zero	meta_metaphor	meta_L_AG	kj	KJ	28	0.07278343649068768	2.5656723460173883	0.016167134398363446	0.043112358395635854
one_sample_gt_zero	meta_metaphor	meta_L_temporal_pole	kj	KJ	28	0.037903040574861484	2.2133950235426467	0.03550771233694616	0.06737616816732643
one_sample_gt_zero	meta_metaphor	meta_R_IFG	kj	KJ	28	0.043352667595187064	2.1336324819557735	0.04211010510457902	0.06737616816732643
one_sample_gt_zero	meta_metaphor	meta_R_AG	kj	KJ	28	0.036386627961351566	2.0178794043948987	0.0536419841197253	0.07152264549296707
one_sample_gt_zero	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	28	0.025023039477681752	1.5606302230921567	0.13025703381487883	0.14886518150271866
one_sample_gt_zero	meta_metaphor	meta_R_temporal_pole	kj	KJ	28	-0.005380277649348356	-0.25699331742374115	0.7991322825279237	0.7991322825279237
one_sample_gt_zero	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	28	0.12711256703885962	5.017367110930978	2.906704842995467e-05	0.00023253638743963735
one_sample_gt_zero	meta_metaphor	meta_L_AG	yy	YY	28	0.11735312158602651	4.712743309876329	6.591531405043572e-05	0.00026366125620174287
one_sample_gt_zero	meta_metaphor	meta_L_IFG	yy	YY	28	0.10537897948530697	4.497967041117838	0.00011732722901162523	0.00031287261069766725
one_sample_gt_zero	meta_metaphor	meta_R_IFG	yy	YY	28	0.050998759162006475	2.7455723054178955	0.010614581707125073	0.021229163414250147
one_sample_gt_zero	meta_metaphor	meta_R_AG	yy	YY	28	0.050122582592963774	2.3496015704146638	0.026358960390811696	0.042174336625298715
one_sample_gt_zero	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	28	0.025883338953944034	1.6671731224214275	0.10703981085003562	0.1427197478000475
one_sample_gt_zero	meta_metaphor	meta_R_temporal_pole	yy	YY	28	0.011891851851183867	0.6068152078327249	0.5490426786132887	0.6258871436937679
one_sample_gt_zero	meta_metaphor	meta_L_temporal_pole	yy	YY	28	0.007492880125040573	0.49315958512422636	0.6258871436937679	0.6258871436937679
