sub,YY_mean,KJ_mean,YY_n,KJ_n,diff
sub-01,0.8142857142857143,0.7571428571428571,70,70,0.05714285714285716
sub-02,0.5857142857142857,0.42857142857142855,70,70,0.1571428571428572
sub-03,0.5,0.5428571428571428,70,70,-0.042857142857142816
sub-04,0.7714285714285715,0.7,70,70,0.07142857142857151
sub-05,0.5571428571428572,0.4857142857142857,70,70,0.07142857142857145
sub-06,0.9142857142857143,0.9714285714285714,70,70,-0.05714285714285716
sub-07,0.8428571428571429,0.6571428571428571,70,70,0.18571428571428572
sub-08,0.7714285714285715,0.6142857142857143,70,70,0.15714285714285714
sub-09,0.7285714285714285,0.6428571428571429,70,70,0.08571428571428563
sub-10,0.45714285714285713,0.37142857142857144,70,70,0.08571428571428569
sub-11,1.0,0.9857142857142858,70,70,0.014285714285714235
sub-13,0.44285714285714284,0.2857142857142857,70,70,0.15714285714285714
sub-14,0.6857142857142857,0.5,70,70,0.18571428571428572
sub-15,0.45714285714285713,0.2857142857142857,70,70,0.17142857142857143
sub-16,0.7857142857142857,0.6571428571428571,70,70,0.12857142857142856
sub-17,0.9142857142857143,0.8714285714285714,70,70,0.042857142857142816
sub-18,0.7,0.5857142857142857,70,70,0.11428571428571421
sub-19,0.44285714285714284,0.3142857142857143,70,70,0.12857142857142856
sub-20,0.8714285714285714,0.9857142857142858,70,70,-0.11428571428571432
sub-21,0.5714285714285714,0.5,70,70,0.0714285714285714
sub-22,0.4,0.2714285714285714,70,70,0.12857142857142861
sub-23,0.5428571428571428,0.5714285714285714,70,70,-0.02857142857142858
sub-24,0.6714285714285714,0.37142857142857144,70,70,0.29999999999999993
sub-25,0.8,0.6714285714285714,70,70,0.12857142857142867
sub-26,0.8571428571428571,0.9142857142857143,70,70,-0.05714285714285716
sub-27,0.5571428571428572,0.15714285714285714,70,70,0.4
sub-28,0.7142857142857143,0.7714285714285715,70,70,-0.05714285714285716
